s_type	g_type	u_type	w_type	trial_eta	test_eta	trial_sig	test_sig	state
fiber	aper3	petro	g	72.7272727273	88.2352941176	0.456774736842	1.12620285714	1
dev	aper4	petro	g	70.9677419355	76.4705882353	0.5106036878	0.849003816881	1
model	aper4	petro	g	58.064516129	63.6363636364	0.422803738318	1.09255714286	1
cmodel	aper4	petro	g	67.7419354839	79.4117647059	0.498984592069	1.25023	1
petro	aper4	petro	g	68.75	76.4705882353	0.865475009667	1.49204786226	1
fiber2	aper4	petro	g	63.6363636364	85.7142857143	0.309875	0.817386310294	1
fiber	aper4	petro	g	72.7272727273	88.2352941176	0.456774736842	1.12620285714	1
dev	aper5	petro	g	70.9677419355	76.4705882353	0.5106036878	0.849003816881	1
model	aper5	petro	g	58.064516129	63.6363636364	0.422803738318	1.09255714286	1
cmodel	aper5	petro	g	67.7419354839	79.4117647059	0.498984592069	1.25023	1
petro	aper5	petro	g	68.75	76.4705882353	0.865475009667	1.49204786226	1
fiber2	aper5	petro	g	63.6363636364	85.7142857143	0.309875	0.817386310294	1
fiber	aper5	petro	g	72.7272727273	88.2352941176	0.456774736842	1.12620285714	1
dev	auto	petro	g	70.9677419355	76.4705882353	0.5106036878	0.849003816881	1
model	auto	petro	g	58.064516129	63.6363636364	0.422803738318	1.09255714286	1
cmodel	auto	petro	g	67.7419354839	79.4117647059	0.498984592069	1.25023	1
petro	auto	petro	g	68.75	76.4705882353	0.865475009667	1.49204786226	1
fiber2	auto	petro	g	63.6363636364	85.7142857143	0.309875	0.817386310294	1
fiber	auto	petro	g	72.7272727273	88.2352941176	0.456774736842	1.12620285714	1
dev	iso	petro	g	70.9677419355	76.4705882353	0.5106036878	0.849003816881	1
model	iso	petro	g	58.064516129	63.6363636364	0.422803738318	1.09255714286	1
cmodel	iso	petro	g	67.7419354839	79.4117647059	0.498984592069	1.25023	1
petro	iso	petro	g	68.75	76.4705882353	0.865475009667	1.49204786226	1
fiber2	iso	petro	g	63.6363636364	85.7142857143	0.309875	0.817386310294	1
fiber	iso	petro	g	72.7272727273	88.2352941176	0.456774736842	1.12620285714	1
