sdss_dr7objid,sdss_dr8objid,RA,DEC,z,z_phot,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,probPSF,sdss_u_mag,sdss_u_err,sdss_g_mag,sdss_g_err,sdss_r_mag,sdss_r_err,sdss_i_mag,sdss_i_err,sdss_z_mag,sdss_z_err
588017604680024140,1237661850928218172,171.123,43.94692,0.1535106,0.140239,27.92819,4.846322,4.400503,4.159882,4.96034,7.738875,6.335624,6.077537,6.108299,5.950368,0,21.03638,0.07680806,19.45468,0.01068842,18.50059,0.007137759,18.05598,0.006663761,17.77215,0.01711067
588017604687691895,1237661850935885928,195.7558,44.40144,0.1645883,0.161988,6.372952,5.368462,4.851212,4.982305,4.824362,6.321812,6.08196,5.732594,5.8088,5.854126,0,21.53183,0.1062747,19.62951,0.01171552,18.50776,0.008196803,18.03708,0.007511147,17.73793,0.01739216
587735743149048019,1237661464373952735,231.2677,36.79618,0.1946972,0.16121,3.348543,8.921288,7.986193,7.693416,3.725116,13.647,7.789498,8.7728,8.924926,5.223611,0,21.71552,0.1675639,20.24775,0.04527445,19.12353,0.04166842,18.6338,0.03186683,18.30084,0.05838623
587735743154159898,1237661464379064578,242.7168,30.03429,0.09935456,0.115484,7.560655,7.139184,7.131105,6.77827,6.594787,7.64187,7.187214,6.999373,7.189643,7.329992,0,20.7022,0.06023353,19.18899,0.009377436,18.2807,0.006460574,17.7888,0.005021464,17.53301,0.01513133
587735743157502168,1237661464382406822,249.2205,25.12375,0.0584971,0.070669,6.708986,4.613689,4.555323,4.528138,4.288573,6.805598,5.555003,5.425133,5.428003,5.220211,0,20.69588,0.06074514,18.917,0.007736423,18.0556,0.005544739,17.65526,0.004406459,17.33341,0.01310012
587735743160845054,1237661464385749695,255.4021,19.85045,0.1184232,0.161294,43.7728,6.760948,5.646151,5.345889,3.747593,8.811854,6.765689,5.815755,5.901717,3.829874,0,21.43337,0.1127119,20.02884,0.01619217,19.05096,0.01077546,18.58241,0.0102224,18.2314,0.02693695
587735743685591044,1237661464910495836,230.8107,37.7212,0.06542931,0.052526,2.017235,2.030859,2.101486,2.082538,2.017909,1.857688,2.629007,2.624331,2.633235,2.668874,0,20.02637,0.0391137,18.44445,0.005716885,17.76219,0.004645873,17.43603,0.004562528,17.21119,0.01244216
587735743685656909,1237661464910561630,231.0709,37.58618,0.06290731,0.080475,5.846005,5.275811,5.081484,5.077629,5.243537,6.276671,5.748449,5.628455,5.545852,5.464029,0,20.57322,0.04918575,18.92204,0.007537956,18.10264,0.00566697,17.66995,0.004374446,17.38803,0.01410451
587735665311547503,1237661386536452178,229.7463,47.464,0.1201519,0.165587,3.591316,3.984269,3.97506,3.744372,3.657465,4.514664,4.932684,4.959861,4.851788,4.414544,0,20.698,0.06012765,19.27511,0.009810007,18.33195,0.006669117,17.7888,0.005935762,17.62754,0.01527496
587735665312858233,1237661386537762928,233.2415,45.56278,0.07660456,0.073513,3.321101,3.567499,3.554275,3.279377,3.502963,2.935253,4.519948,4.535453,4.512125,4.51982,0,20.83985,0.06714626,18.97719,0.008122361,18.09508,0.004955098,17.67756,0.005512461,17.36654,0.01268227
587735743692013717,1237661464916918571,245.0746,29.01237,0.06130349,0.08611,7.138561,5.807027,6.128258,5.932899,5.660039,6.89853,6.768486,6.958913,6.998628,6.287249,0,19.60258,0.0294409,18.41331,0.005640067,17.85208,0.005042613,17.41297,0.004619776,17.23499,0.0129608
587735665314037861,1237661386538942539,236.2083,43.86426,0.1488845,0.183235,2.305794,3.357468,3.685699,40.24763,3.722269,3.687796,4.239786,4.43418,4.411908,4.227976,0,18.87393,0.01733244,18.31955,0.004721992,17.81358,0.004825829,17.43131,0.004751639,17.27962,0.0119942
588017604693917771,1237661850942111845,214.4267,40.9062,0.0685539,0.058262,6.136819,4.770245,4.722293,4.540806,4.605403,5.898872,5.192958,5.15859,5.222662,5.208296,0,20.40447,0.04419103,18.74265,0.006450664,17.95372,0.00517916,17.50036,0.004862546,17.16786,0.01153863
587735743692145018,1237661464917049759,245.246,28.72862,0.1250452,0.189574,3.70608,4.195462,4.065628,4.11953,4.278581,4.514361,4.637112,4.555711,4.549289,5.480813,0,21.09883,0.08841661,19.87267,0.01149598,18.93444,0.009773656,18.45204,0.009102693,18.20994,0.02723508
