# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
#
# Results of Query: Database UKIDSSDR9PLUS 09/07/14 20:06
# SELECT my.sdss_dr8objid  sdss_dr8objid, x.distanceMins    
# distanceMins, u.sourceID        ukidss_objid, u.ebv             eBV,  
#  u.yAperMag4       ukidss_y_mag, u.yAperMag4Err    ukidss_y_err,   
# u.j_1AperMag4     ukidss_j_mag, u.j_1AperMag4Err  ukidss_j_err,   
# u.hAperMag4       ukidss_h_mag, u.hAperMag4Err    ukidss_h_err,   
# u.kAperMag4       ukidss_k_mag,    u.kAperMag4Err    ukidss_k_err   
# FROM  lasSourceXDR8PhotoObj x,  lasSource u,  #userTable my   WHERE 
# x.slaveObjID=my.sdss_dr8objID and x.masterObjID=u.sourceID and 
# x.sdssPrimary=1 and x.distanceMins < .01 and u.pNoise < .05   and 
# x.distanceMins IN ( SELECT MIN(distanceMins) FROM 
# lasSourceXDR8PhotoObj WHERE masterObjID=x.masterObjID AND 
# sdssPrimary=1) order by my.sdss_dr8objid,u.sourceid
# Column Headers at start of file AND below
#
# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
 1237648704055869691,     +0.004223,        433865671146,     +0.037757,    +16.970127,     +0.016124,    +16.326647,     +0.013906,    +15.603099,     +0.015707,    +15.010094,     +0.015505
 1237648704056590608,     +0.003036,        433865339436,     +0.043246,    +16.761240,     +0.014460,    +16.496643,     +0.017175,    +15.741386,     +0.018077,    +15.187360,     +0.018759
 1237648704056590608,     +0.003036,        433865339436,     +0.043246,    +16.761240,     +0.014460,    +16.496643,     +0.017175,    +15.741386,     +0.018077,    +15.187360,     +0.018759
 1237648704056590608,     +0.003208,        433865580331,     +0.043245,    +17.079903,     +0.017541,    +16.467226,     +0.017814,    +15.766112,     +0.018219,    +15.150194,     +0.018957
 1237648704056590608,     +0.003208,        433865580331,     +0.043245,    +17.079903,     +0.017541,    +16.467226,     +0.017814,    +15.766112,     +0.018219,    +15.150194,     +0.018957
 1237648704056656093,     +0.001426,        433865571018,     +0.040224,    +17.155796,     +0.018800,    +16.612505,     +0.020997,    +15.957193,     +0.020922,    +15.438430,     +0.023153
 1237648704056656093,     +0.001810,        433865660681,     +0.040224,    +17.210900,     +0.019083,    +16.640003,     +0.017482,    +15.947842,     +0.020416,    +15.379457,     +0.021869
 1237648704057704825,     +0.003774,        433865576270,     +0.057083,    +16.535934,     +0.013530,    +16.002407,     +0.014647,    +15.276767,     +0.011658,    +14.548722,     +0.012595
 1237648704057704825,     +0.003774,        433865576270,     +0.057083,    +16.535934,     +0.013530,    +16.002407,     +0.014647,    +15.276767,     +0.011658,    +14.548722,     +0.012595
 1237648704057770314,     +0.001188,        433865576140,     +0.055306,    +16.229662,     +0.010487,    +15.621634,     +0.010416,    +14.861867,     +0.008109,    +14.361918,     +0.010542
 1237648704057770314,     +0.001188,        433865576140,     +0.055306,    +16.229662,     +0.010487,    +15.621634,     +0.010416,    +14.861867,     +0.008109,    +14.361918,     +0.010542
 1237648704058425538,     +0.002078,        433866084252,     +0.057978, -9.999995E008, -9.999995E008,    +15.803255,     +0.009769,    +15.097213,     +0.008725,    +14.551555,     +0.010157
 1237648704058622365,     +0.000657,        433866247996,     +0.063006,    +17.548120,     +0.017763,    +16.915274,     +0.022352,    +16.143278,     +0.024345,    +15.436614,     +0.022078
 1237648704060326178,     +0.003948,        433864176899,     +0.063233,    +16.569687,     +0.010495,    +15.921691,     +0.009426,    +15.076343,     +0.006683,    +14.490903,     +0.007182
 1237648704577273992,     +0.002750,        433862085115,     +0.021956,    +16.638940,     +0.012855,    +16.070940,     +0.013205,    +15.335474,     +0.012426,    +14.846459,     +0.014221
 1237648704577405071,     +0.002510,        433862080754,     +0.026631,    +16.276472,     +0.009581,    +15.699933,     +0.009319,    +14.933235,     +0.008599,    +14.497602,     +0.010508
 1237648704580812909,     +0.003633,        433861200150,     +0.021520,    +16.470772,     +0.008329,    +15.922902,     +0.009654,    +15.266977,     +0.009591,    +14.805107,     +0.010950
 1237648704580812909,     +0.003633,        433861200150,     +0.021520,    +16.470772,     +0.008329,    +15.922902,     +0.009654,    +15.266977,     +0.009591,    +14.805107,     +0.010950
 1237648704580812909,     +0.002221,        433862028986,     +0.021521,    +16.511686,     +0.010630,    +15.984870,     +0.011810,    +15.293222,     +0.009937,    +14.823376,     +0.011724
 1237648704580812909,     +0.002221,        433862028986,     +0.021521,    +16.511686,     +0.010630,    +15.984870,     +0.011810,    +15.293222,     +0.009937,    +14.823376,     +0.011724
 1237648704582123664,     +0.002866,        433861601282,     +0.022634,    +17.052422,     +0.011487,    +16.565481,     +0.014835,    +15.943033,     +0.016172,    +15.444204,     +0.020669
 1237648704582123664,     +0.003857,        433862063361,     +0.022633,    +17.104248,     +0.015811,    +16.565600,     +0.018593,    +15.859550,     +0.014605,    +15.412036,     +0.016514
 1237648704582647975,     +0.004690,        433861841903,     +0.021544,    +17.064060,     +0.013337,    +16.407955,     +0.015234,    +15.605525,     +0.013109,    +14.722648,     +0.012442
 1237648704582647975,     +0.005268,        433862045429,     +0.021544,    +17.117940,     +0.017251,    +16.372208,     +0.016834,    +15.601264,     +0.012654,    +14.685329,     +0.009525
 1237648704583368908,     +0.000339,        433861615640,     +0.048953,    +16.016867,     +0.007203,    +15.440433,     +0.008038,    +14.727307,     +0.009133,    +14.207289,     +0.008899
 1237648704583368908,     +0.001312,        433862054361,     +0.048953,    +16.006319,     +0.007678,    +15.457207,     +0.007528,    +14.697790,     +0.006086,    +14.122088,     +0.006039
 1237648704584482882,     +0.001035,        433861948142,     +0.023489,    +15.874222,     +0.006632,    +15.294018,     +0.008132, -9.999995E008, -9.999995E008,    +14.189168,     +0.008546
 1237648704584482882,     +0.001035,        433861948142,     +0.023489,    +15.874222,     +0.006632,    +15.294018,     +0.008132, -9.999995E008, -9.999995E008,    +14.189168,     +0.008546
 1237648704584482882,     +0.001143,        433862040406,     +0.023489,    +15.884276,     +0.006877,    +15.351964,     +0.006444,    +14.647290,     +0.007064,    +14.169676,     +0.006716
 1237648704584482882,     +0.001143,        433862040406,     +0.023489,    +15.884276,     +0.006877,    +15.351964,     +0.006444,    +14.647290,     +0.007064,    +14.169676,     +0.006716
